,NUM NODES,NUM EDGES,PEARL DEPTH,GRAPH NAME,NUM PEARLS,AVG PEARL SIZE,MIN PEARL SIZE,MAX PEARL SIZE,TIME,SUBDIVISON,OUTERPLANAR
113,21,31,3,Belnet2008.graphml,5,2.0,2.0,2.0,0.011536598205566406,False,False
114,14,13,1,Nordu1997.graphml,0,0.0,0.0,0.0,0.0029723644256591797,False,True
115,9,36,1,Globalcenter.graphml,1,9.0,9.0,9.0,0.00653386116027832,False,False
116,17,20,1,Nextgen.graphml,1,2.0,2.0,2.0,0.0027413368225097656,True,True
117,110,158,4,Interoute.graphml,6,8.0,1.0,40.0,0.2697737216949463,False,False
118,33,41,2,IowaStatewideFiberMap.graphml,2,6.0,2.0,10.0,0.027957439422607422,False,False
119,15,18,2,Claranet.graphml,2,2.0,1.0,3.0,0.006630897521972656,False,False
120,52,63,2,Cesnet201006.graphml,2,6.5,1.0,12.0,0.1111295223236084,False,False
121,22,24,1,Garr200404.graphml,1,4.0,4.0,4.0,0.010136842727661133,False,False
122,23,31,2,Abvt.graphml,2,5.0,4.0,6.0,0.010918617248535156,False,False
123,29,33,2,Biznet.graphml,4,1.75,1.0,2.0,0.009582996368408203,False,False
124,23,43,1,Belnet2003.graphml,1,5.0,5.0,5.0,0.005820512771606445,False,False
125,16,15,1,Grena.graphml,0,0.0,0.0,0.0,0.003986835479736328,False,True
126,21,31,3,Belnet2007.graphml,5,2.0,2.0,2.0,0.011253833770751953,False,False
127,18,24,1,BsonetEurope.graphml,1,6.0,6.0,6.0,0.009242057800292969,False,False
128,9,10,1,Nordu2005.graphml,0,0.0,0.0,0.0,0.0015218257904052734,False,True
129,67,83,3,Missouri.graphml,3,8.0,4.0,14.0,0.08401155471801758,False,False
130,37,45,1,Evolink.graphml,1,7.0,7.0,7.0,0.022519588470458984,True,False
131,56,76,2,Garr201101.graphml,2,5.0,1.0,9.0,0.12594032287597656,False,False
132,6,7,2,Layer42.graphml,2,1.5,1.0,2.0,0.002794504165649414,False,False
133,84,101,2,RedBestel.graphml,4,4.25,1.0,11.0,0.034012794494628906,False,False
134,74,76,2,Sinet.graphml,2,2.0,2.0,2.0,0.14068031311035156,False,False
135,54,68,1,Garr200908.graphml,1,9.0,9.0,9.0,0.12517476081848145,True,False
136,19,21,1,Restena.graphml,1,3.0,3.0,3.0,0.005774974822998047,True,False
137,66,78,2,Internode.graphml,2,5.5,1.0,10.0,0.21298003196716309,False,False
138,42,66,1,Chinanet.graphml,1,9.0,9.0,9.0,0.06050562858581543,True,False
139,20,31,2,BtAsiaPac.graphml,2,4.5,1.0,8.0,0.014097452163696289,False,False
140,33,43,3,Renater2008.graphml,3,2.6666666666666665,1.0,5.0,0.017096996307373047,False,False
141,27,28,1,Bbnplanet.graphml,1,2.0,2.0,2.0,0.024401187896728516,True,True
142,16,18,2,Rhnet.graphml,2,1.5,1.0,2.0,0.003459453582763672,False,False
143,61,89,2,Garr201201.graphml,2,5.5,1.0,10.0,0.11639857292175293,False,False
144,7,13,1,Heanet.graphml,1,4.0,4.0,4.0,0.002237558364868164,False,True
145,13,15,1,Nsfnet.graphml,1,4.0,4.0,4.0,0.004142284393310547,True,True
146,57,77,2,Garr201102.graphml,2,5.0,1.0,9.0,0.12404608726501465,False,False
147,59,86,2,Garr201109.graphml,2,5.0,1.0,9.0,0.11861085891723633,False,False
148,26,28,2,KentmanFeb2008.graphml,2,1.5,1.0,2.0,0.013926267623901367,False,False
149,153,191,4,Colt.graphml,8,3.625,2.0,11.0,0.6428897380828857,False,False
150,74,74,1,Syringa.graphml,0,0.0,0.0,0.0,0.05533480644226074,False,True
151,69,98,2,Uninett2011.graphml,2,12.5,2.0,23.0,0.1357133388519287,False,False
152,39,44,1,Cesnet200511.graphml,1,4.0,4.0,4.0,0.03925013542175293,True,True
153,25,29,2,UniC.graphml,2,1.5,1.0,2.0,0.009250402450561523,False,False
154,149,193,3,GtsCe.graphml,4,12.5,2.0,44.0,0.38100171089172363,False,False
155,14,17,1,Compuserve.graphml,1,5.0,5.0,5.0,0.003595113754272461,False,True
156,30,29,1,Arn.graphml,0,0.0,0.0,0.0,0.014768123626708984,False,True
157,24,27,1,Renater2001.graphml,1,4.0,4.0,4.0,0.009773969650268555,True,False
158,12,16,1,TLex.graphml,1,4.0,4.0,4.0,0.00531005859375,False,False
159,53,65,1,BeyondTheNetwork.graphml,1,14.0,14.0,14.0,0.06959009170532227,True,False
160,40,61,2,Geant2012.graphml,2,9.0,1.0,17.0,0.05562901496887207,False,False
161,197,245,5,Cogentco.graphml,7,8.857142857142858,2.0,46.0,1.1928281784057617,False,False
162,50,73,3,Surfnet.graphml,3,5.333333333333333,2.0,12.0,0.030219554901123047,False,False
163,30,32,2,Ernet.graphml,2,2.0,1.0,3.0,0.024919748306274414,False,False
164,26,31,2,Funet.graphml,2,3.5,2.0,5.0,0.01042318344116211,False,False
165,55,74,2,Garr201007.graphml,2,5.0,1.0,9.0,0.11820697784423828,False,False
166,74,92,4,Switch.graphml,6,4.0,1.0,15.0,0.16192841529846191,False,False
